Núm,Projeto,Relator,Atribuído a,Categoria,Data de Envio,Atualizado,Estado,Resumo,Corrigido na Versão,Data Limite,Descrição
0005106,C Projeto GPFB,Ronaldo,Isaias,[C Projeto GPFB]-[Cat] Orçamento / Pedido de Compra,2020-01-09,2020-01-09,fechado,Erro ao imprimir orçamento,,,"Ao marcar impressão reduzida do orçamento o sistema apresenta erro, bases 2.0"
0004355,M Projeto GPFB,Ronaldo,Isaias,[M Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-08-14,2020-01-09,fechado,Criar campo de totalizador de IPI e valor unitário de IPI,,,"Adicionar campo na tela de lançamento de itens para totalizar os valores do IPI dos produtos e outro para apresentar o valor do IPI por produto.

Ao final dos lançamentos o sistema deverá comprar o valor total do IPI dos produtos com o valor do IPI da nota, caso estejam diferentes o sistema deverá informar ao usuário e perguntar se deseja continuar mesmo assim"
0005100,C Projeto Contagem,Matheus,Tiago,Geral,2020-01-08,2020-01-08,fechado,Corrigir função de ajuste no Contagem,,,Corrigir função de ajuste no Contagem
0005101,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,GP não abre e fica travado nos 10% na inicialização,,,GP não abre e fica travado nos 10% na inicialização
0005102,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,Erro ao consultar data e hora do MFE na tela de listagem,,,Erro ao consultar data e hora do MFE na tela de listagem
0005103,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,Erro ao imprimir DAV na GIGI,,,Erro de access denied ao imprimir em impressora compartilhada na GIGI
0005104,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,Picote do dav não estava saindo em duas vias na impressão quando selecionado 1 via do DAV,,,Picote do dav não estava saindo em duas vias na impressão quando selecionado 1 via do DAV
0004938,M Projeto GPFB,Amorim,Claudio,[M Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-11-26,2020-01-08,fechado,Importar XML da base do site da Fazenda Nacional a partir da entrada de mercadorias,,,"Baixar o XML das notas de fornecedores a partir do site da Fazenda Nacional, utilizando o certificado digital do cliente para fazer a importação diretamente para entrada de mercadorias"
0005096,M Projeto GPFB,Jackson,Jackson,[M Projeto GPFB]-[Cat] Geral,2020-01-07,2020-01-08,fechado,Alterar componente de código de barras da sislibrary para compilar no delphi novo para migração do Delphi 7,,,Alterar componente de código de barras da sislibrary para compilar no delphi novo para migração do Delphi 7
0005097,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Relatórios,2020-01-07,2020-01-08,fechado,Disparidades entres os relatório de Notas de Saídas e Notas de Saídas com Produtos.,,,"RELATÓRIO DE NOTAS DE SAÍDAS 
PERÍODO 16/12/2019 A 31/12/2019
VENDEDORAS 003-NEIDE
VALOR R$ 33.590.54

RELATÓRIO DE NOTAS DE SAÍDAS COM PRODUTOS
PERÍODO 16/12/2019 A 31/12/2019
VENDEDORAS 003-NEIDE
VALOR R$ 41.031,51"
0005072,M Projeto GPFB,Ronaldo,Bruno,[M Projeto GPFB]-[Cat] Outras,2019-12-30,2020-01-07,fechado,Modificar filtro de aplicação da regra de tributação,,,"Substituir o filtro de marca pelo filtro NCM, em campo digitável como no cadastro de produto"
0005091,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Relatórios,2020-01-07,2020-01-07,fechado,Corrigir erro no relatório de Notas de Saídas,,,O sistema está disparando um erro ao tentar gerar o relatório de Notas de Saídas no período de Dezembro de 2019.
0005095,M Projeto GPFB,Jackson,Jackson,[M Projeto GPFB]-[Cat] Geral,2020-01-07,2020-01-07,fechado,Substituir função appendstr da sislibrary que foi depreciada para migração do delphi 7,,,Substituir função appendstr da sislibrary que foi depreciada para migração do delphi 7
0004054,M Projeto GPFB,Amorim,Jackson,[M Projeto GPFB]-[Cat] Geral,2019-06-05,2020-01-07,fechado,Remover dependência da BDEutils,,,Remover dependência da BDEutils pois foi descontinuado no delphi novo
0005086,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Geral,2020-01-06,2020-01-07,fechado,Correção na alteração do pagamento do lançamento de cartões,,,"Quando alterado o lançamento de cartão já pago, o sistema deve mostrar novamente o combobox para seleção do banco, caso a alteração tenha sido no pagamento."
0005094,Suporte,Tiago,Tiago,Atendimento ao suporte,2020-01-07,2020-01-07,fechado,Relatório específico para cliente,,,"O cliente Farmácia JN pediu para gerarmos um relatório específico solicitado pela Anvisa.
O relatória deveria conter todos os produtos vendidos no período de 02-09-2019 a 16-09-2019, exceto os passados na relação para Amorim e Valber. 
"
0005090,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Relatórios,2020-01-06,2020-01-07,fechado,Corrigir erro disparado na geração do relatório de Notas de Saídas com Produtos,,,Quando tentado gerar o relatório de Notas de Saídas com Produtos o sistema está disparando um erro.
0005092,C Projeto GPFB,Tiago,Tiago,[C Projeto GPFB]-[Cat] Relatórios,2020-01-07,2020-01-07,fechado,Erro no relatório de Saída Com Produtos,,,O Sistema dispara um erro ao tentar gerar o relatório de notas de saída com produtos.
0004517,M Projeto GPFB,Ronaldo,Isaias,[M Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-09-10,2020-01-07,fechado,Remover configuração de casas decimais dos campos na entrada de mercadoria,,,"Na entrada de mercadoria o sistema deverá permitir que o usuário informe a quantidade que quiser nas casas decimais, a forma como usada hoje estava causando a diferença quando as empresas trabalhavam com grandes quantidades e valores mínimos "
0005089,C Projeto MFE,Jackson,Jackson,.,2020-01-06,2020-01-06,fechado,"Não obrigar a preencher o campo de cópia dos xmls nas configurações do mfe, pois só deve ser usado onde houver sincronização",,,"Não obrigar a preencher o campo de cópia dos xmls nas configurações do mfe, pois só deve ser usado onde houver sincronização dos xmls para base central, solicitado por Wilson."
0005085,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Geral,2020-01-06,2020-01-06,fechado,Corrigir erro disparado na busca de taxas,,,Caso seja digitado uma letra para busca de taxas no campo de código o sistema está disparando um erro de memória.
0005084,C Projeto GPFB,Jackson,Jackson,[C Projeto GPFB]-[Cat] Nota Fiscal Referênciada,2020-01-04,2020-01-06,fechado,Sistema não deixa referenciar cupom onde o número da fatura (FATUR) de uma venda é igual ao do cupom (NOTFI) de outra venda,,,"Em bases que começam do zero ou que possuem muitos mfes, acontece de o número do pedido (FATUR) de uma determinada venda ser igual ao número do cupom (NOTFI) de outra venda, ai o sistema pesquisar se já foi adicionado na tela e por referência cruzada identifica que foi importado (sem já ter sido) e não permite referenciar o cupom."
0005083,M Projeto GPFB,Tiago,Tiago,[M Projeto GPFB]-[Cat] Orçamento / Pedido de Compra,2020-01-04,2020-01-06,fechado,Usar preço configurado no tipo de cliente no Orçamento,,,"Assim como na venda, o orçamento deve também dar opção do usuário utilizar o preço configurado no tipo de cliente 
na venda. "
0005026,M Projeto GPFB,Matheus,Tiago,[M Projeto GPFB]-[Cat] Geral,2019-12-13,2020-01-06,fechado,Criar registro bancário nos lançamentos de cartões pagos.,,,"Ao marcar os lançamentos de cartões como pago o sistema deve apresentar um combo para o usuário selecionar o banco que recebeu aquele lançamento.

O recebimento deve constar na tabela de lançamento bancário, com histórico ""Recebimento de cartão"" e o resumo do recebimento."
0005081,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Geral,2020-01-03,2020-01-06,fechado,Seleção das Taxas Crédito e Débito,,,"Quando selecionado Cartão de Crédito como forma de pagamento, apresentar apenas as taxas de cartão de crédito, da mesma forma deve acontecer para o Cartão de Débito."
0005077,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Relatórios,2020-01-03,2020-01-03,fechado,Correção no relatório de Notas de Compras p/ Somente Devoluções,,,"Quando marcado Somente Devoluções no relatório de Notas de Compras o sistema não está mostrando o valor da nota, foi feito o teste com o tipo de Outras entradas."
0005079,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Geral,2020-01-03,2020-01-03,fechado,Correção no Lançamento de Contas Bancárias,,,"Quando informado que o Lançamentos de Cartões é pago o sistema coloca em caixa, caso seja alterado e informado o pagamento novamente o sistema está lançando novamente no caixa."
0005078,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2020-01-03,2020-01-03,fechado,Erro disparado na Entrada de Mercadoria,,,"Na navegação entre os campo da entrada de mercadoria, caso o Preço de Compra estiver zerado, ao sair do campo Desconto Valor o sistema dispara um erro."
0005066,M Projeto GPFB,Ronaldo,Isaias,[M Projeto GPFB]-[Cat] Cadastro de Produtos,2019-12-27,2020-01-03,fechado,Adicionar campo demonstrativo de data e fornecedor da última compra,,,"Na tela na parte superior deverá ser adicionar campo demonstrativo com a data e fornecedor da última compra. Esses campos devem ser adicionados no banco de dados na tabela de produtos.

Os campos devem ser adicionados durante a entrada de mercadoria.
Caso a última nota lançada seja cancelada ou o produto correspondente nessa seja cancelado, o sistema deverá limpar os campos.
Na tela de cadastro caso os campos não apresentem informações, deverá existir um botão para o usuário possa clicá-lo para que o sistema realize a consulta das informações e preencha os campos em questão."
0005080,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Geral,2020-01-03,2020-01-03,fechado,Tratamento de mensagens,,,"Tratar mensagem de exclusão de Lançamento de Cartões;
Verificar mensagem da alteração da venda com Lançamento de Cartões;
Tratar mensagem de seleção de taxa inexistente."
0005022,M Projeto GPFB,Matheus,Tiago,[M Projeto GPFB]-[Cat] Geral,2019-12-13,2020-01-03,fechado,Rotina de antecipação de parcelas de cartão.,,,"O usuário deverá selecionar as parcelas que desejar antecipar na lista de parcelas.

Nessa tela deverá constar filtros por operadora, bandeira, data de emissão e data de vencimento.
E o campo para informação da taxa de antecipação em percentual.

Deverão ser listadas apenas as parcelas não pagas e com vencimento maior que a data atual.
Ao selecionar as parcelas o sistema deverá apresentar em campos próprios o total das parcelas selecionadas, total a ser descontado baseado na taxa informada e o total.

Adicionar botão para realizar operação. A operação ela vai pegar todas as parcelas selecionadas, marcar como pagas e antecipadas informando o valor recebido já com a taxa de antecipação. 

Deverá existir uma permissão para uso dessa rotina."
0005074,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Nota Fiscal Complementar / Ajuste,2019-12-31,2020-01-02,fechado,Corrigir alteração do campo nota de origem após selecionar Tipo de Complemento,,,"Quando selecionado o tipo de complemento o sistema preenche o campo de  nota de origem com zeros, logo quando seleciona todos para apagar o sistema não deixa."
0005070,M Projeto GPFB,Ronaldo,Bruno,[M Projeto GPFB]-[Cat] Relatórios,2019-12-30,2020-01-02,fechado,Retirar botão de maximização da tela de filtros do relatório de Abertura de Crédito,,,"-Retirar botão de maximização da tela de filtros do relatório de Abertura de Crédito
+corrigir redimensionamento pelas laterais da tela "
0005069,M Projeto GPFB,Ronaldo,Isaias,[M Projeto GPFB]-[Cat] Relatórios,2019-12-30,2020-01-02,fechado,Relação de Compra e Venda - Adicionar campo de quantidade da última compra,,,Deve ser adicionada opção para o usuário possa selecionar entre a quantidade média (campo já existente) e quantidade da última compra. O campo selecionado deve ser mostrado no relatório. 
0005071,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-30,2020-01-02,fechado,Erro ao salvar XML NFE,,,"O XML da NFE não está conseguindo ser salvo na pasta configurada.
O sistema Apresenta um erro."
0005076,Suporte,Isaias,Isaias,Atendimento ao suporte,2020-01-02,2020-01-02,fechado,"Erro em venda de 0,5 do produto",,,"erra uma versão antiga e quando usar quantidade padrão o valor padrão sempre é um e não deixava passar 0,5"
0005009,M Projeto GPFB,Jackson,Jackson,[M Projeto GPFB]-[Cat] Geral,2019-12-12,2020-01-02,fechado,Migrar campo INDEX para ID da tabela CFOP para Zeos e FB3,,,Migrar campo INDEX para ID da tabela CFOP para Zeos e FB3
0005075,Suporte,Tiago,Tiago,Atendimento ao suporte,2020-01-02,2020-01-02,fechado,Problema com Certificado Digital,,,O sistema não consegue consultar os status operacional. 
0004975,M Projeto GPFB,Matheus,Isaias,[M Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-12-06,2019-12-31,fechado,Criar campo para valor do desconto nos itens da nota de entrada,,,Criar campo para valor do desconto nos itens da nota de entrada
0004881,M Projeto GPFB,Matheus,Bruno,[M Projeto GPFB]-[Cat] Geral,2019-11-13,2019-12-30,fechado,Verificar situação da empresa em relação a renovação de senha,,,"Verificar qual é a a situação da empresa, se estiver tudo certo não apresentar a mensagem para renovação da senha de retorno e fazer esse processo automaticamente, caso contrário apresentar a mensagem para renovar a senha."
0005054,M Projeto GPFB,Matheus,Isaias,[M Projeto GPFB]-[Cat] Relatórios,2019-12-20,2019-12-28,fechado,Melhoria para o relatório de Movimentação de Produto,,,Adicionar filtro possibilitando a geração do relatório de Movimentação de Produto a partir da data de emissão.
0005039,M Projeto GPFB,Matheus,Isaias,[M Projeto GPFB]-[Cat] Relatórios,2019-12-17,2019-12-28,fechado,Adicionar totalizador de outras despesas no relatório de notas de saídas,,,"Adicionar totalizador de outras despesas no relatório de notas de saídas, onde será totalizado os valores de fretes, outras despesas, etc."
0005065,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Relatórios,2019-12-26,2019-12-28,fechado,Alinhar campos do relatório de Relação de Notas de Saídas,,,"Quando marcado para exibir a coluna de ICMS/Base de Cálculo, alinhar campos do relatório de Relação de Notas de Saídas.

O cálculo do desconto está sendo aplicado novamente no campo de base."
0005068,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-27,2019-12-27,fechado,Erro na Venda,,,O sistema exibe erro 6099 quando se tentar finalizar uma venda MFE.
0005057,M Projeto GPFB,Matheus,Isaias,[M Projeto GPFB]-[Cat] Relatórios,2019-12-23,2019-12-27,fechado,Melhorias para o relatório de Fechamento de Caixa,,,"Colocar a hora de abertura e fechamento do caixa e mudar título de ""Fluxo de Caixa"" para ""Fechamento de Caixa"""
0004129,Programação,Ronaldo,Jackson,[Programação]-[Cat] Geral,2019-07-03,2019-12-26,fechado,Migrar zeos para versão mais nova,,,Migrar componente Zeos observando compatibilidade com atual versão do delphi usada pela empresa
0003780,Pesquisas,Amorim,Jackson,.,2019-04-11,2019-12-26,fechado,Migrar para firebird 3.0,,,"Migrar para firebird 3.0
"
0005059,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Trocas,2019-12-23,2019-12-26,fechado,Corrigir rotina de lançamento de diferenças das trocas em caixa.,,,"Na rotina para lançar as diferenças da Troca no caixa o sistema deve adicionar um ""T"" na frente do valor do campo Fatur."
0005063,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Geral,2019-12-26,2019-12-26,fechado,Corrigir erro disparado quando acessado o F9,,,Quando acessado o F9 o sistema está disparando um erro de memória.
0005023,M Projeto GPFB,Matheus,Tiago,[M Projeto GPFB]-[Cat] Geral,2019-12-13,2019-12-26,fechado,Criar relatório de lançamento de cartões.,,,"Deverá conter filtros por operadora, bandeira, data de emissão, data de vencimento, pagos, não pagas, antecipados e todos.

No relatório deverá ser listadas todas as parcelas de cartões de crédito correspondentes aos filtros selecionados, deverá apresentar também o campo total da parcela, o campo taxa e total e totalizador geral de cada coluna."
0005061,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Trocas,2019-12-24,2019-12-24,fechado,Corrigir erro disparado na troca,,,"Quando realizada uma troca em que o valor da saída é maior que o de entrada, o sistema pede para selecionar um cliente e ao selecionar o sistema dispara um erro."
0005044,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-12-17,2019-12-24,fechado,Correção no calculo de preço de custo do produto na entrada de mercadoria.,,,"Quando os valores de frete, outras despesas, etc for diferente a cada item o sistema deve calcular o valor de custo do produto na entrada de mercadoria verificado esses valores vinculado ao item e não os cadastrado no cabeçalho geral da nota, se o valor não existir discriminado em cada item utilizar a porcentagem do cabeçalho."
0005060,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-24,2019-12-24,fechado,Configuração de Etiqueta,,,O sistema estava com as etiquetas desconfiguradas.
0004998,M Projeto GPFB,Matheus,Tiago,[M Projeto GPFB]-[Cat] Cadastro Clientes,2019-12-10,2019-12-23,fechado,Criar funcionalidade para cadastro de clientes como consumidor final.,,,Adicionar campo de consumidor final ao cadastro de clientes e substituir a verificação do cliente 1 como consumidor final pelo uso desse campo novo.
0005058,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-23,2019-12-23,fechado,Erro na geração do Inventário,,,"O inventário não consegue ser gerado.
Empresa: Juaço."
0005055,C Projeto GPFB,Isaias,Isaias,[C Projeto GPFB]-[Cat] Relatórios,2019-12-20,2019-12-23,fechado,erro no relatório de notas de saida com produtos,,,ao tentar gerar o relatório dar um erro e deixar impossível abrir o relatório
0005014,C Projeto GPFB,Ronaldo,Claudio,[C Projeto GPFB]-[Cat] Emissão de NFe,2019-12-12,2019-12-20,fechado,Problema com cálculos de impostos da nota fiscal,,,"O sistema calcula os os valores gerando divergência entre o total da nota e o por produto no ICMS, PIS, COFINS..."
0005048,C Projeto GPFB,Matheus,Claudio,[C Projeto GPFB]-[Cat] Outras Entradas / Saídas,2019-12-18,2019-12-20,fechado,Corrigir alteração da quantidades dos produtos nos cancelamentos das notas de Devoluções,,,Quando canceladas notas de devoluções realizadas pela funcionalidade de Outras Entradas / Saídas o sistema não altera a quantidade dos produtos retirando quando é entrada ou adicionando quando é saída.
0004991,M Projeto GPFB,Matheus,Claudio,[M Projeto GPFB]-[Cat] Geral,2019-12-09,2019-12-20,fechado,Melhorar a exibição das cidades nos campos de seleção de município na tela de cadastro de MDFe.,,,"Melhorar a exibição das cidades nos campos de seleção de município na tela de cadastro de MDFe, deixando de forma alfabética na seleção."
0005043,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-12-17,2019-12-19,fechado,Corrigir cálculo do valor de compra unitário na entrada de mercadoria.,,,Quando realizada a entrada de mercadoria por XML e utilizado a conversão caso a quantidade seja dividida o valor de compra unitário deve ser multiplicado e vise e versa.
0005053,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-19,2019-12-19,fechado,Erro na Venda,,,Venda MFE foi cancelada porém o saldo do produto não retornou.
0005045,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Relatórios,2019-12-18,2019-12-19,fechado,Correção no calculo do desconto do relatório de Vendas de Produtos,,,"Corrigir campo usado no cálculo do desconto do relatório de Vendas de Produtos, sugerido usar o campo DESCO do IN01FAT, não usando como referência o VALNO, porque ele não armazena valores quando não existe emissão de documentos fiscais."
0005052,C Projeto GPFB,Jackson,Jackson,[C Projeto GPFB]-[Cat] Geral,2019-12-19,2019-12-19,fechado,Refazer rotina de migração do campo INDEX para ID da tabela IN01CFO,,,Refazer rotina de migração do campo INDEX para ID da tabela IN01CFO pois tem bases que tem dependência de chave primária sem nome na tabela fazendo com que a migração não consiga migrar o campo
0005051,C Projeto SPED,Matheus,Bruno,[C Projeto SPED]-[Cat] Geral,2019-12-19,2019-12-19,fechado,Verificar campos INDEX,,,Verificar campos INDEX e trocar por ID.
0005046,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Geral,2019-12-18,2019-12-19,fechado,Deleção de despesas,,,Ao deletar um despesa verificar se tem lançamento bancário para a mesma e só permitir a deleção se não tiver.
0005049,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Outras Entradas / Saídas,2019-12-18,2019-12-19,fechado,Alterar a data de comparação na tela de seleção de notas a serem devolvidas.,,,"Quando a devolução for de saída alterar a data de comparação na tela de seleção de notas a serem devolvidas, pois a mesma está comparado pela data de emissão e não de chegada."
0005050,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Geral,2019-12-18,2019-12-19,fechado,Erro disparando no cadastro de prazos,,,Corrigir erro disparado no cadastrado de prazos.
0005047,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-18,2019-12-18,fechado,Estudo de Caso,,,O Funcionário Darchiel da empresa Fercomp veio para tirar algumas dúvidas sobre o funcionamento do módulo de cartões.
0005042,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Geral,2019-12-17,2019-12-17,fechado,Corrigir transferências quando o produto tem peso bruto cadastrado.,,,"Corrigir transferências quando o produto tem peso bruto cadastrado com um valor muito alto pois está disparando o erro de ""Não foi possível gerar a tabela temporária"""
0005041,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-17,2019-12-17,fechado,Problema na Transferência,,,"Quando clica em confirmar o sistema exibe a seguinte mensagem:
Não foi possível gerar a tabela temporária."
0005040,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Relatórios,2019-12-17,2019-12-17,fechado,Corrigir erro disparado no relatório de Comissão por Vendedor.,,,Quando usado os filtros de Tipo de Cliente do relatório de Comissão por Vendedor o sistema está disparando um erro.
0005038,C Projeto GPFB,Tiago,Tiago,[C Projeto GPFB]-[Cat] Geral,2019-12-17,2019-12-17,fechado,Módulo de Regra de Tributação,,,"Criar rotina para possibilitar ao usuário inserir um regra de tributação para um grupo de produtos, podendo filtrá-los por
grupo, subgrupo e marca."
0005037,C Projeto GPFB,Isaias,Isaias,[C Projeto GPFB]-[Cat] Relatórios,2019-12-17,2019-12-17,fechado,erro nos totalizadores do relatorio de notas de saidas,,,o valor estava muito alto nas forma de pagamento
0005036,C Projeto GPFB,Jackson,Jackson,[C Projeto GPFB]-[Cat] Geral,2019-12-16,2019-12-16,fechado,Remover views internas da exclusão das dependências durante a migração dos floats. Atualização para Zeos e FB3,,,Remover views internas da exclusão das dependências durante a migração dos floats. Atualização para Zeos e FB3
0005035,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Geral,2019-12-16,2019-12-16,fechado,Corrigir erro disparado no lançamento de itens na venda,,,"Corrigir erro disparado no lançamento de itens na venda, quando o produto é buscado pela referência e essa referência começa com a letra X."
0005034,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-16,2019-12-16,fechado,Problema com CFOP da venda,,,O sistema só puxa o cfop 6.108 para as vendas MFE do cliente 1.
0005033,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-16,2019-12-16,fechado,Problema na Finalização da Venda,,,"O sistema exibe um erro ao tentar lançar as formas de pagamento.
Versão: 7.3.0.1"
0005032,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Vendas,2019-12-16,2019-12-16,fechado,Correção na seleção de produtos na venda pelo F7,,,O sistema não está carregando as informações dos produtos quando selecionados pelo F7 na venda.
0005030,C Projeto MFE,Jackson,Jackson,.,2019-12-16,2019-12-16,fechado,O sistema está pedindo os dados do POS quando baixa o titulo na venda mesmo sendo TEF,,,"Se o pagamento com cartão estiver marcado como pagamento a vista e uando o tef, o sistema está pedindo os dados do POS."
0005012,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-12,2019-12-16,fechado,Erro comunicação Drive MFE,,,Drive MFE não consegui comunicação.
0005013,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-12,2019-12-16,fechado,Erro comunicação Drive MFE,,,Drive não consegue comunicação com a Sefaz.
0005028,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-13,2019-12-14,fechado,Problema com Base de Dados,,,O banco de dados do cliente se encontra corrompido.
0005029,M Projeto MFE,Jackson,Jackson,.,2019-12-13,2019-12-13,fechado,Melhorar tela de emissão do mfe no tocante ao cancelamento do cupom,,,"Alguns clientes estão insatisfeitos por que perdem o tempo de cancelamento do mfe devido ao botão de cancelar ficar desabilitado. A partir de agora o botão vai ficar habilitado sempre, caso tenha passado o prazo de 30 minutos e o cliente tentar cancelar o próprio mfe retorna o erro informando que passou o tempo permitido. Também vou alterar a visualização do horário do servidor para mostrar o horário do MFE, já que o horário que influencia o cancelamento é somente o do MFE."
0005027,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-13,2019-12-13,fechado,Dúvida na cadastro de produtos,,,"O cliente estava alegando que as informações dos impostos dos produtos não ficam preenchidas no campo quando 
ele clica para realizar um novo cadastro assim que  finaliza a realização de um."
0005020,M Projeto GPFB,Jackson,Jackson,[M Projeto GPFB]-[Cat] Geral,2019-12-13,2019-12-13,fechado,Avisar quando tem campos INDEX no sistema,,,Existem bases em que durante a migração não foi possível migrar os campos index para id devido a chaves integry criadas no banco ou até mesmo tabelas corrompidas. Avisar ao iniciar sistema que esses campos index devem ser alterados para ID pois se não o sistema não funcionará corretamente.
0004968,M Projeto GPFB,Matheus,Tiago,[M Projeto GPFB]-[Cat] Relatórios,2019-12-04,2019-12-13,fechado,Corrigir filtro de CFOP no relatório de Notas de Entradas,,,"Corrigir filtro de CFOP no relatório de Notas de Entradas, colocando para comparar pelo CFOP do cabeçalho da nota, tento na Entrada quanto na Devolução."
0005019,Suporte,Tiago,Tiago,Atendimento ao suporte,2019-12-13,2019-12-13,fechado,Treinamento sobre Controle de Cartões,,,Taynara pediu algumas explicações sobre o o modo de uso desse módulo.  
0004988,M Projeto GPFB,Matheus,Isaias,[M Projeto GPFB]-[Cat] Cadastro Fornecedores,2019-12-09,2019-12-13,fechado,Melhoria no cadastro de fornecedores,,,"Tira a obrigatoriedade de cadastro da Inscrição Estadual, deixar obrigatoriedade quando o Tipo de Contribuinte for 1 ou 9 com Inscrição Estadual."
0004524,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-09-11,2019-12-13,fechado,Correção na entrada de mercadoria por XML,,,Quando realizada a entrada de mercadoria via XML o sistema deverá buscar as informações de impostos no cadastro do produto e lançar conforme no cadastro e não as informações do XML.
0004809,M Projeto GPFB,Matheus,Isaias,[M Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-10-28,2019-12-13,fechado,Melhoria para a gravação automática do markup na entrada de mercadoria.,,,"Quando marcado a opção de gravação automática do markup na entrada de mercadoria o sistema só salva a informação se teclar enter até o final para realizar o lançamento do produto na entrada, quando essa configuração estiver marcada o sistema deve mostrar a tela do marrkup e salvar a informação logo após sair do campo."
0004996,M Projeto GPFB,Matheus,Tiago,[M Projeto GPFB]-[Cat] Cadastro de Produtos,2019-12-10,2019-12-13,fechado,Criar campo de código de barras da embalagem.,,,"Usar o campo de Quantidade da Embalagem e criar o campo código de barras da embalagem no cadastro de produtos, para que no momento da venda caso o usuário leia o código de barras da embalagem o sistema lance a quantidade do campo Quantidade da Embalagem"
0004994,C Projeto GPFB,Matheus,Isaias,[C Projeto GPFB]-[Cat] Geral,2019-12-10,2019-12-13,fechado,Problema na devolução com o uso de controle de caixa,,,"Utilizando o controle caixa, quando realizar um devolução em uma data e tentado cancelar em uma outra data o sistema não permite mesmo que o usuário tenha permissão de realizar movimentações em datas anteriores."
0004970,M Projeto GPFB,Matheus,Tiago,[M Projeto GPFB]-[Cat] Geral,2019-12-05,2019-12-13,fechado,Criar funcionalidade de importação de XML de MFe apenas de cancelamento.,,,"Criar funcionalidade de importação de XML de MFe para quando a venda já está emitida no banco de dados mas na Sefaz está cancelada, importando apenas o cancelamento e atualizando a fatura."
0005018,C Projeto GPFB,Matheus,Jackson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-12-13,2019-12-13,fechado,Corrigir erro disparado na entrada de mercadoria quando tentado importar um produto e relacionar.,,,Corrigir erro disparado na entrada de mercadoria quando tentado importar um produto e relacionar.
